Gen: 0, Best: 17.1, Mean: 30.185583
Gen: 1, Best: 22.5, Mean: 30.333336
Gen: 2, Best: 21, Mean: 30.359198
Gen: 3, Best: 20.8, Mean: 30.157217
Gen: 4, Best: 16.7, Mean: 30.524372
Gen: 5, Best: 20.7, Mean: 29.898508
Gen: 6, Best: 20.7, Mean: 30.700993
Gen: 7, Best: 19.8, Mean: 30.113928
Gen: 8, Best: 16.5, Mean: 30.226871
Gen: 9, Best: 16.9, Mean: 30.551739
Gen: 10, Best: 17.8, Mean: 30.241302
Gen: 11, Best: 20.3, Mean: 30.483593
Gen: 12, Best: 19.3, Mean: 30.359205
Gen: 13, Best: 16.4, Mean: 30.119894
Gen: 14, Best: 20.3, Mean: 30.885078
Gen: 15, Best: 22.3, Mean: 30.69204
Gen: 16, Best: 16, Mean: 29.889551
Gen: 17, Best: 16.8, Mean: 30.455711
Gen: 18, Best: 19.8, Mean: 30.42438
Gen: 19, Best: 19.3, Mean: 30.183086
Gen: 20, Best: 20, Mean: 30.28259
Gen: 21, Best: 20.7, Mean: 30.64776
Gen: 22, Best: 19.2, Mean: 30.432846
Gen: 23, Best: 19.3, Mean: 30.201998
Gen: 24, Best: 19.7, Mean: 30.684076
Gen: 25, Best: 20.5, Mean: 30.031345
Gen: 26, Best: 19, Mean: 30.15073
Gen: 27, Best: 20.2, Mean: 30.152742
Gen: 28, Best: 19.1, Mean: 30.58806
Gen: 29, Best: 19.5, Mean: 30.26866
Gen: 30, Best: 22.3, Mean: 30.7408
Gen: 31, Best: 19.7, Mean: 30.277617
Gen: 32, Best: 19.3, Mean: 30.449253
Gen: 33, Best: 18.7, Mean: 30.510944
Gen: 34, Best: 19.9, Mean: 30.439304
Gen: 35, Best: 16.8, Mean: 30.294521
Gen: 36, Best: 21.4, Mean: 30.487556
Gen: 37, Best: 19.7, Mean: 30.460201
Gen: 38, Best: 17.5, Mean: 30.328365
Gen: 39, Best: 22.3, Mean: 29.95721
Gen: 40, Best: 18.3, Mean: 30.409952
Gen: 41, Best: 19.8, Mean: 30.353745
Gen: 42, Best: 17.6, Mean: 30.476616
Gen: 43, Best: 19.7, Mean: 30.257215
Gen: 44, Best: 21.3, Mean: 30.346266
Gen: 45, Best: 19.3, Mean: 30.163185
Gen: 46, Best: 17.1, Mean: 30.460695
Gen: 47, Best: 18, Mean: 29.947266
Gen: 48, Best: 18.8, Mean: 30.401989
Gen: 49, Best: 20, Mean: 30.28109
Gen: 50, Best: 21.9, Mean: 30.611935
Gen: 51, Best: 20, Mean: 30.31393
Gen: 52, Best: 19.3, Mean: 30.581099
Gen: 53, Best: 16.7, Mean: 30.323883
Gen: 54, Best: 19.2, Mean: 30.300009
Gen: 55, Best: 17, Mean: 30.302486
Gen: 56, Best: 16.4, Mean: 30.124372
Gen: 57, Best: 20.7, Mean: 30.535326
Gen: 58, Best: 19.9, Mean: 30.572126
Gen: 59, Best: 21.3, Mean: 30.800491
Gen: 60, Best: 21.9, Mean: 30.654724
Gen: 61, Best: 19.8, Mean: 30.643282
Gen: 62, Best: 19.3, Mean: 30.380592
Gen: 63, Best: 20, Mean: 30.39602
Gen: 64, Best: 17.2, Mean: 30.130848
Gen: 65, Best: 17.9, Mean: 30.383091
Gen: 66, Best: 21.5, Mean: 30.337317
Gen: 67, Best: 19, Mean: 30.469648
Gen: 68, Best: 20.2, Mean: 30.220385
Gen: 69, Best: 18.7, Mean: 30.133833
Gen: 70, Best: 20.1, Mean: 30.412945
Gen: 71, Best: 19.8, Mean: 30.326857
Gen: 72, Best: 22.6, Mean: 30.37364
Gen: 73, Best: 19.9, Mean: 30.3378
Gen: 74, Best: 22.6, Mean: 30.540302
Gen: 75, Best: 17, Mean: 30.29304
Gen: 76, Best: 21.9, Mean: 30.334332
Gen: 77, Best: 19.2, Mean: 30.304483
Gen: 78, Best: 19.3, Mean: 30.48607
Gen: 79, Best: 19.5, Mean: 30.620905
Gen: 80, Best: 16.4, Mean: 30.347267
Gen: 81, Best: 22.5, Mean: 30.315422
Gen: 82, Best: 16.9, Mean: 30.5831
Gen: 83, Best: 19.9, Mean: 30.135326
Gen: 84, Best: 22.4, Mean: 30.672132
Gen: 85, Best: 20.2, Mean: 30.712942
Gen: 86, Best: 20.7, Mean: 30.66369
Gen: 87, Best: 19.3, Mean: 30.267653
Gen: 88, Best: 20.8, Mean: 30.189545
Gen: 89, Best: 20.5, Mean: 30.592533
Gen: 90, Best: 19.8, Mean: 30.096008
Gen: 91, Best: 16.3, Mean: 30.49254
Gen: 92, Best: 17.7, Mean: 30.280611
Gen: 93, Best: 18.3, Mean: 30.367655
Gen: 94, Best: 22.5, Mean: 30.684578
Gen: 95, Best: 20.8, Mean: 30.10896
Gen: 96, Best: 16.6, Mean: 30.425373
Gen: 97, Best: 20.5, Mean: 30.61194
Gen: 98, Best: 16.9, Mean: 30.237812
Gen: 99, Best: 20.4, Mean: 30.599985
Gen: 100, Best: 19.8, Mean: 30.26966
